"","components(g)$membership"
"GCF_002939925.1_ASM293992v1_genomic.fna",139
"GCF_002939985.1_ASM293998v1_genomic.fna",25
"GCF_002940065.1_ASM294006v1_genomic.fna",377
"GCF_002940085.1_ASM294008v1_genomic.fna",378
"GCF_002940605.1_XthCFBP4691_genomic.fna",379
"GCF_002968575.1_ASM296857v1_genomic.fna",380
"GCF_002968635.1_ASM296863v1_genomic.fna",381
"GCF_002980595.1_ASM298059v1_genomic.fna",382
"GCF_002980625.1_ASM298062v1_genomic.fna",383
"GCF_002982215.1_ASM298221v1_genomic.fna",27
"GCF_002982225.1_ASM298222v1_genomic.fna",27
"GCF_002982275.1_ASM298227v1_genomic.fna",27
"GCF_002982335.1_ASM298233v1_genomic.fna",27
"GCF_002983495.1_ASM298349v1_genomic.fna",347
"GCF_003002115.1_ASM300211v1_genomic.fna",104
"GCF_003008535.1_ASM300853v1_genomic.fna",384
"GCF_003008595.1_ASM300859v1_genomic.fna",385
"GCF_003013695.1_ASM301369v1_genomic.fna",386
"GCF_003015715.1_ASM301571v1_genomic.fna",139
"GCF_003024235.1_ASM302423v1_genomic.fna",387
"GCF_003058385.1_ASM305838v1_genomic.fna",267
"GCF_003063455.1_ASM306345v1_genomic.fna",388
"GCF_003063475.1_ASM306347v1_genomic.fna",389
"GCF_003064105.1_ASM306410v1_genomic.fna",25
"GCF_003064125.1_ASM306412v1_genomic.fna",43
"GCF_003064145.1_ASM306414v1_genomic.fna",82
"GCF_003065365.1_ASM306536v1_genomic.fna",390
"GCF_003065385.1_ASM306538v1_genomic.fna",391
"GCF_003072505.1_ASM307250v1_genomic.fna",392
"GCF_003122325.1_ASM312232v1_genomic.fna",393
"GCF_003182375.1_ASM318237v1_genomic.fna",44
"GCF_003205195.1_ASM320519v1_genomic.fna",394
"GCF_003240565.1_ASM324056v1_genomic.fna",395
"GCF_003240585.1_ASM324058v1_genomic.fna",396
"GCF_003254575.1_ASM325457v1_genomic.fna",170
"GCF_003261235.1_ASM326123v1_genomic.fna",397
"GCF_003266045.1_ASM326604v1_genomic.fna",27
"GCF_003269035.1_ASM326903v1_genomic.fna",398
"GCF_003269065.1_ASM326906v1_genomic.fna",399
"GCF_003293695.1_ASM329369v1_genomic.fna",400
"GCF_003294055.1_ASM329405v1_genomic.fna",81
"GCF_003337425.1_ASM333742v1_genomic.fna",401
"GCF_003337555.1_ASM333755v1_genomic.fna",402
"GCF_003337715.1_ASM333771v1_genomic.fna",403
"GCF_003339525.1_ASM333952v1_genomic.fna",404
"GCF_003347205.1_ASM334720v1_genomic.fna",405
"GCF_003349825.1_ASM334982v1_genomic.fna",370
"GCF_003350265.1_ASM335026v1_genomic.fna",362
"GCF_003350475.1_ASM335047v1_genomic.fna",406
"GCF_003353055.1_ASM335305v1_genomic.fna",407
"GCF_003353175.1_ASM335317v1_genomic.fna",408
"GCF_003367175.1_ASM336717v1_genomic.fna",409
"GCF_003368325.1_ASM336832v1_genomic.fna",410
"GCF_003382285.1_ASM338228v1_genomic.fna",411
"GCF_003390495.1_ASM339049v1_genomic.fna",157
"GCF_003390925.1_ASM339092v1_genomic.fna",412
"GCF_003391395.1_ASM339139v1_genomic.fna",204
"GCF_003417535.1_ASM341753v1_genomic.fna",413
"GCF_003431645.1_ASM343164v1_genomic.fna",204
"GCF_003431655.1_ASM343165v1_genomic.fna",204
"GCF_003443895.1_ASM344389v1_genomic.fna",414
"GCF_003546465.1_ASM354646v1_genomic.fna",81
"GCF_003568605.1_ASM356860v1_genomic.fna",3
"GCF_003568725.1_ASM356872v1_genomic.fna",415
"GCF_003570885.1_ASM357088v1_genomic.fna",416
"GCF_003574675.1_ASM357467v1_genomic.fna",417
"GCF_003584745.1_ASM358474v1_genomic.fna",204
"GCF_003586305.1_ASM358630v1_genomic.fna",418
"GCF_003604195.1_ASM360419v1_genomic.fna",419
"GCF_003609695.1_ASM360969v1_genomic.fna",204
"GCF_003609715.1_ASM360971v1_genomic.fna",40
"GCF_003614435.1_ASM361443v1_genomic.fna",420
"GCF_003627755.1_ASM362775v1_genomic.fna",421
"GCF_003628125.1_ASM362812v1_genomic.fna",422
"GCF_003628145.1_ASM362814v1_genomic.fna",423
"GCF_003697345.1_ASM369734v1_genomic.fna",424
"GCF_003703395.1_ASM370339v1_genomic.fna",425
"GCF_003703815.1_ASM370381v1_genomic.fna",426
"GCF_003719825.1_ASM371982v1_genomic.fna",427
"GCF_003814555.1_ASM381455v1_genomic.fna",428
"GCF_003837865.1_ASM383786v1_genomic.fna",429
"GCF_003843835.1_ASM384383v1_genomic.fna",430
"GCF_003852895.1_ASM385289v1_genomic.fna",431
"GCF_003855255.1_ASM385525v1_genomic.fna",77
"GCF_003892345.1_ASM389234v1_genomic.fna",432
"GCF_003938655.1_ASM393865v1_genomic.fna",433
"GCF_003939025.1_ASM393902v1_genomic.fna",434
"GCF_003951285.1_ASM395128v1_genomic.fna",435
"GCF_003952165.1_ASM395216v1_genomic.fna",436
"GCF_003952725.1_ASM395272v1_genomic.fna",437
"GCF_003965815.1_ASM396581v1_genomic.fna",438
"GCF_003966915.1_ASM396691v1_genomic.fna",439
"GCF_003985125.1_ASM398512v1_genomic.fna",440
"GCF_003985135.1_ASM398513v1_genomic.fna",433
"GCF_003985145.1_ASM398514v1_genomic.fna",441
"GCF_003985155.1_ASM398515v1_genomic.fna",442
"GCF_003986935.1_ASM398693v1_genomic.fna",124
"GCF_004014795.1_Mbrumae.v1_genomic.fna",443
"GCF_004014805.1_ASM401480v1_genomic.fna",444
"GCF_004122095.1_ASM412209v1_genomic.fna",445
"GCF_004136375.1_ASM413637v1_genomic.fna",82
"GCF_004168365.1_ASM416836v1_genomic.fna",446
"GCF_004217315.1_ASM421731v1_genomic.fna",426
"GCF_004310285.1_ASM431028v1_genomic.fna",447
"GCF_004341365.1_ASM434136v1_genomic.fna",415
"GCF_004341885.1_ASM434188v1_genomic.fna",448
"GCF_004342465.1_ASM434246v1_genomic.fna",370
"GCF_004342485.1_ASM434248v1_genomic.fna",449
"GCF_004342585.1_ASM434258v1_genomic.fna",450
"GCF_004346265.1_ASM434626v1_genomic.fna",451
"GCF_004352825.1_ASM435282v1_genomic.fna",452
"GCF_004352845.1_ASM435284v1_genomic.fna",453
"GCF_004353905.1_ASM435390v1_genomic.fna",454
"GCF_004355025.1_ASM435502v1_genomic.fna",269
"GCF_004355245.1_ASM435524v1_genomic.fna",157
"GCF_004357985.1_ASM435798v1_genomic.fna",455
"GCF_004358025.1_ASM435802v1_genomic.fna",456
"GCF_004358165.1_ASM435816v1_genomic.fna",457
"GCF_004359965.1_ASM435996v1_genomic.fna",458
"GCF_004362405.1_ASM436240v1_genomic.fna",459
"GCF_004363775.1_ASM436377v1_genomic.fna",460
"GCF_004366555.1_ASM436655v1_genomic.fna",461
"GCF_004402975.1_ASM440297v1_genomic.fna",12
"GCF_004681965.1_ASM468196v1_genomic.fna",462
"GCF_004682015.1_ASM468201v1_genomic.fna",463
"GCF_004766495.1_ASM476649v1_genomic.fna",64
"GCF_004766515.1_ASM476651v1_genomic.fna",464
"GCF_004766535.1_ASM476653v1_genomic.fna",50
"GCF_004803635.1_ASM480363v1_genomic.fna",465
"GCF_004803715.2_ASM480371v2_genomic.fna",466
"GCF_004833285.1_ASM483328v1_genomic.fna",467
"GCF_004912135.1_ASM491213v1_genomic.fna",468
"GCF_004912165.1_ASM491216v1_genomic.fna",469
"GCF_004924335.1_ASM492433v1_genomic.fna",268
"GCF_005145045.1_ASM514504v1_genomic.fna",86
"GCF_005670605.1_ASM567060v1_genomic.fna",109
"GCF_005670655.1_ASM567065v1_genomic.fna",470
"GCF_005670675.1_ASM567067v1_genomic.fna",97
"GCF_005670695.1_ASM567069v1_genomic.fna",471
"GCF_005862305.2_ASM586230v2_genomic.fna",472
"GCF_005871185.1_ASM587118v1_genomic.fna",473
"GCF_005876985.1_ASM587698v1_genomic.fna",474
"GCF_005938115.1_ASM593811v1_genomic.fna",117
"GCF_006094315.1_ASM609431v1_genomic.fna",81
"GCF_006265115.1_ASM626511v1_genomic.fna",475
"GCF_006335145.1_ASM633514v1_genomic.fna",476
"GCF_006352395.1_ASM635239v1_genomic.fna",451
"GCF_006409125.1_ASM640912v1_genomic.fna",40
"GCF_006443685.1_ASM644368v1_genomic.fna",477
"GCF_006476065.1_ASM647606v1_genomic.fna",478
"GCF_006538545.1_ASM653854v1_genomic.fna",2
"GCF_006539605.1_ASM653960v1_genomic.fna",201
"GCF_006546735.2_ASM654673v2_genomic.fna",479
"GCF_006546775.1_ASM654677v1_genomic.fna",480
"GCF_006547045.1_ASM654704v1_genomic.fna",481
"GCF_006716905.1_ASM671690v1_genomic.fna",482
"GCF_006970865.1_ASM697086v1_genomic.fna",483
"GCF_007002985.1_ASM700298v1_genomic.fna",110
"GCF_007097545.1_ASM709754v1_genomic.fna",362
"GCF_007431345.1_ASM743134v1_genomic.fna",484
"GCF_007556775.1_ASM755677v1_genomic.fna",485
"GCF_007556815.1_ASM755681v1_genomic.fna",486
"GCF_007655255.1_ASM765525v1_genomic.fna",487
"GCF_007714205.1_ASM771420v1_genomic.fna",488
"GCF_007795095.1_ASM779509v1_genomic.fna",489
"GCF_007827505.1_ASM782750v1_genomic.fna",62
"GCF_007827695.1_ASM782769v1_genomic.fna",490
"GCF_007830035.1_ASM783003v1_genomic.fna",491
"GCF_007830115.1_ASM783011v1_genomic.fna",492
"GCF_007830535.1_ASM783053v1_genomic.fna",401
"GCF_007859305.1_ASM785930v1_genomic.fna",493
"GCF_007859325.1_ASM785932v1_genomic.fna",494
"GCF_007923255.1_ASM792325v1_genomic.fna",495
"GCF_007992095.1_ASM799209v1_genomic.fna",496
"GCF_007993815.1_ASM799381v1_genomic.fna",497
"GCF_007996985.1_ASM799698v1_genomic.fna",401
"GCF_008033445.1_ASM803344v1_genomic.fna",498
"GCF_008033455.1_ASM803345v1_genomic.fna",428
"GCF_008119715.1_ASM811971v1_genomic.fna",499
"GCF_008274655.1_ASM827465v1_genomic.fna",500
"GCF_008329645.1_ASM832964v1_genomic.fna",501
"GCF_008369935.1_ASM836993v1_genomic.fna",502
"GCF_008386465.1_ASM838646v1_genomic.fna",503
"GCF_008632125.1_ASM863212v1_genomic.fna",504
"GCF_008710035.1_ASM871003v1_genomic.fna",505
"GCF_008801385.1_ASM880138v1_genomic.fna",64
"GCF_008801405.1_ASM880140v1_genomic.fna",506
"GCF_008801575.1_ASM880157v1_genomic.fna",43
"GCF_008801835.1_ASM880183v1_genomic.fna",507
"GCF_008801915.1_ASM880191v1_genomic.fna",508
"GCF_008801925.2_ASM880192v2_genomic.fna",509
"GCF_008801935.1_ASM880193v1_genomic.fna",510
"GCF_008802115.1_ASM880211v1_genomic.fna",511
"GCF_008802125.1_ASM880212v1_genomic.fna",512
"GCF_008802135.1_ASM880213v1_genomic.fna",513
"GCF_008802145.1_ASM880214v1_genomic.fna",514
"GCF_008932245.1_ASM893224v1_genomic.fna",253
"GCF_009192875.1_ASM919287v1_genomic.fna",231
"GCF_009192945.1_ASM919294v1_genomic.fna",60
"GCF_009362735.1_ASM936273v1_genomic.fna",515
"GCF_009362785.1_ASM936278v1_genomic.fna",516
"GCF_009455625.1_ASM945562v1_genomic.fna",517
"GCF_009455635.1_ASM945563v1_genomic.fna",104
"GCF_009455685.1_ASM945568v1_genomic.fna",518
"GCF_009498475.1_ASM949847v1_genomic.fna",64
"GCF_009599935.1_ASM959993v1_genomic.fna",490
"GCF_009601405.1_ASM960140v1_genomic.fna",201
"GCF_009617585.1_ASM961758v1_genomic.fna",519
"GCF_009646335.1_ASM964633v1_genomic.fna",520
"GCF_009649785.1_ASM964978v1_genomic.fna",521
"GCF_009690905.1_ASM969090v1_genomic.fna",522
"GCF_009740395.1_ASM974039v1_genomic.fna",523
"GCF_009741445.1_ASM974144v1_genomic.fna",21
"GCF_009765165.1_ASM976516v1_genomic.fna",524
"GCF_009765215.1_ASM976521v1_genomic.fna",525
"GCF_009769165.1_ASM976916v1_genomic.fna",376
"GCF_009789655.1_ASM978965v1_genomic.fna",526
"GCF_009789675.1_ASM978967v1_genomic.fna",527
"GCF_009792795.1_ASM979279v1_genomic.fna",528
"GCF_009826855.1_ASM982685v1_genomic.fna",529
"GCF_009827055.1_ASM982705v1_genomic.fna",530
"GCF_009936235.1_ASM993623v1_genomic.fna",313
"GCF_010093135.1_ASM1009313v1_genomic.fna",531
"GCF_010093165.1_ASM1009316v1_genomic.fna",532
"GCF_010093185.1_ASM1009318v1_genomic.fna",533
"GCF_010093205.1_ASM1009320v1_genomic.fna",534
"GCF_010093225.1_ASM1009322v1_genomic.fna",535
"GCF_010093235.1_ASM1009323v1_genomic.fna",536
"GCF_010093305.1_ASM1009330v1_genomic.fna",537
"GCF_010093325.1_ASM1009332v1_genomic.fna",538
"GCF_010093345.1_ASM1009334v1_genomic.fna",539
"GCF_010093385.1_ASM1009338v1_genomic.fna",540
"GCF_010093445.1_ASM1009344v1_genomic.fna",541
"GCF_010093495.1_ASM1009349v1_genomic.fna",279
"GCF_010119615.1_ASM1011961v1_genomic.fna",542
"GCF_010211745.1_ASM1021174v1_genomic.fna",543
"GCF_010211755.1_ASM1021175v1_genomic.fna",544
"GCF_010211765.1_ASM1021176v1_genomic.fna",545
"GCF_010669145.1_ASM1066914v1_genomic.fna",546
"GCF_010722915.1_ASM1072291v1_genomic.fna",351
"GCF_010722995.1_ASM1072299v1_genomic.fna",547
"GCF_010723135.1_ASM1072313v1_genomic.fna",303
"GCF_010723225.1_ASM1072322v1_genomic.fna",309
"GCF_010723305.1_ASM1072330v1_genomic.fna",548
"GCF_010723415.1_ASM1072341v1_genomic.fna",420
"GCF_010725485.1_ASM1072548v1_genomic.fna",549
"GCF_010725725.1_ASM1072572v1_genomic.fna",550
"GCF_010725885.1_ASM1072588v1_genomic.fna",547
"GCF_010726085.1_ASM1072608v1_genomic.fna",282
"GCF_010726245.1_ASM1072624v1_genomic.fna",551
"GCF_010726505.1_ASM1072650v1_genomic.fna",34
"GCF_010726645.1_ASM1072664v1_genomic.fna",552
"GCF_010726955.1_ASM1072695v1_genomic.fna",312
"GCF_010727125.1_ASM1072712v1_genomic.fna",310
"GCF_010727325.1_ASM1072732v1_genomic.fna",553
"GCF_010727475.1_ASM1072747v1_genomic.fna",96
"GCF_010727605.1_ASM1072760v1_genomic.fna",554
"GCF_010727725.1_ASM1072772v1_genomic.fna",555
"GCF_010727945.1_ASM1072794v1_genomic.fna",556
"GCF_010728155.1_ASM1072815v1_genomic.fna",316
"GCF_010728325.1_ASM1072832v1_genomic.fna",557
"GCF_010728525.1_ASM1072852v1_genomic.fna",204
"GCF_010728725.1_ASM1072872v1_genomic.fna",288
"GCF_010728925.1_ASM1072892v1_genomic.fna",558
"GCF_010729105.1_ASM1072910v1_genomic.fna",308
"GCF_010729305.1_ASM1072930v1_genomic.fna",559
"GCF_010729485.1_ASM1072948v1_genomic.fna",299
"GCF_010729665.1_ASM1072966v1_genomic.fna",560
"GCF_010729895.1_ASM1072989v1_genomic.fna",315
"GCF_010730055.1_ASM1073005v1_genomic.fna",294
"GCF_010730195.1_ASM1073019v1_genomic.fna",314
"GCF_010730355.1_ASM1073035v1_genomic.fna",300
"GCF_010730575.1_ASM1073057v1_genomic.fna",323
"GCF_010730745.1_ASM1073074v1_genomic.fna",277
"GCF_010730955.1_ASM1073095v1_genomic.fna",471
"GCF_010731115.1_ASM1073111v1_genomic.fna",470
"GCF_010731295.1_ASM1073129v1_genomic.fna",561
"GCF_010731535.1_ASM1073153v1_genomic.fna",320
"GCF_010731575.1_ASM1073157v1_genomic.fna",290
"GCF_010731595.1_ASM1073159v1_genomic.fna",562
"GCF_010731615.1_ASM1073161v1_genomic.fna",563
"GCF_010731635.1_ASM1073163v1_genomic.fna",284
"GCF_010731655.1_ASM1073165v1_genomic.fna",285
"GCF_010731675.1_ASM1073167v1_genomic.fna",281
"GCF_010731695.1_ASM1073169v1_genomic.fna",461
"GCF_010731715.1_ASM1073171v1_genomic.fna",564
"GCF_010731755.1_ASM1073175v1_genomic.fna",283
"GCF_010731775.1_ASM1073177v1_genomic.fna",280
"GCF_010731795.1_ASM1073179v1_genomic.fna",276
"GCF_010731815.2_ASM1073181v2_genomic.fna",565
"GCF_010731855.1_ASM1073185v1_genomic.fna",566
"GCF_010731875.1_ASM1073187v1_genomic.fna",567
"GCF_010731895.1_ASM1073189v1_genomic.fna",568
"GCF_010731935.1_ASM1073193v1_genomic.fna",19
"GCF_011045155.1_ASM1104515v1_genomic.fna",569
"GCF_011046245.1_ASM1104624v1_genomic.fna",570
"GCF_011046895.1_ASM1104689v1_genomic.fna",571
"GCF_011320095.1_ASM1132009v1_genomic.fna",572
"GCF_011758805.1_ASM1175880v1_genomic.fna",573
"GCF_011801475.1_ASM1180147v1_genomic.fna",73
"GCF_012184415.1_ASM1218441v1_genomic.fna",574
"GCF_012349115.1_ASM1234911v1_genomic.fna",575
"GCF_012396425.1_ASM1239642v1_genomic.fna",77
"GCF_012584515.1_ASM1258451v1_genomic.fna",576
"GCF_012844455.2_ASM1284445v2_genomic.fna",577
"GCF_012848175.1_ASM1284817v1_genomic.fna",578
"GCF_013004495.1_ASM1300449v1_genomic.fna",147
"GCF_013004615.1_ASM1300461v1_genomic.fna",508
"GCF_013004645.1_ASM1300464v1_genomic.fna",196
"GCF_013087515.1_ASM1308751v1_genomic.fna",579
"GCF_013087605.1_ASM1308760v1_genomic.fna",267
"GCF_013087625.1_ASM1308762v1_genomic.fna",579
"GCF_013112235.1_ASM1311223v1_genomic.fna",84
"GCF_013155545.1_ASM1315554v1_genomic.fna",580
"GCF_013177435.1_ASM1317743v1_genomic.fna",92
"GCF_013185915.1_ASM1318591v1_genomic.fna",581
"GCF_013283195.1_ASM1328319v1_genomic.fna",582
"GCF_013283645.1_ASM1328364v1_genomic.fna",583
"GCF_013283665.1_ASM1328366v1_genomic.fna",584
"GCF_013363755.1_ASM1336375v1_genomic.fna",585
"GCF_013366375.1_ASM1336637v1_genomic.fna",586
"GCF_013366925.1_ASM1336692v1_genomic.fna",587
"GCF_013378445.1_ASM1337844v1_genomic.fna",588
"GCF_013387465.1_ASM1338746v1_genomic.fna",589
"GCF_013403875.1_ASM1340387v1_genomic.fna",590
"GCF_013408035.1_ASM1340803v1_genomic.fna",591
"GCF_013488225.1_ASM1348822v1_genomic.fna",592
"GCF_014117215.1_ASM1411721v1_genomic.fna",593
"GCF_014126615.1_ASM1412661v1_genomic.fna",594
"GCF_014138515.1_ASM1413851v1_genomic.fna",267
"GCF_014138565.1_ASM1413856v1_genomic.fna",267
"GCF_014145325.1_ASM1414532v1_genomic.fna",595
"GCF_014145395.1_ASM1414539v1_genomic.fna",596
"GCF_014191505.1_ASM1419150v1_genomic.fna",597
"GCF_014192445.1_ASM1419244v1_genomic.fna",264
"GCF_014194165.1_ASM1419416v1_genomic.fna",440
"GCF_014194185.1_ASM1419418v1_genomic.fna",440
"GCF_014194205.1_ASM1419420v1_genomic.fna",440
"GCF_014194235.1_ASM1419423v1_genomic.fna",440
"GCF_014194255.1_ASM1419425v1_genomic.fna",434
"GCF_014194265.1_ASM1419426v1_genomic.fna",290
"GCF_014194285.1_ASM1419428v1_genomic.fna",434
"GCF_014194315.1_ASM1419431v1_genomic.fna",434
"GCF_014194325.1_ASM1419432v1_genomic.fna",434
"GCF_014194355.1_ASM1419435v1_genomic.fna",440
"GCF_014194375.1_ASM1419437v1_genomic.fna",440
"GCF_014194385.1_ASM1419438v1_genomic.fna",434
"GCF_014194405.1_ASM1419440v1_genomic.fna",176
"GCF_014194425.1_ASM1419442v1_genomic.fna",434
"GCF_014194455.1_ASM1419445v1_genomic.fna",440
"GCF_014194475.1_ASM1419447v1_genomic.fna",440
"GCF_014194485.1_ASM1419448v1_genomic.fna",440
"GCF_014194495.1_ASM1419449v1_genomic.fna",440
"GCF_014194525.1_ASM1419452v1_genomic.fna",440
"GCF_014194555.1_ASM1419455v1_genomic.fna",440
"GCF_014194575.1_ASM1419457v1_genomic.fna",434
"GCF_014194585.1_ASM1419458v1_genomic.fna",440
"GCF_014194595.1_ASM1419459v1_genomic.fna",434
"GCF_014196235.1_ASM1419623v1_genomic.fna",433
"GCF_014196505.1_ASM1419650v1_genomic.fna",598
"GCF_014196515.1_ASM1419651v1_genomic.fna",599
"GCF_014196535.1_ASM1419653v1_genomic.fna",600
"GCF_014196605.1_ASM1419660v1_genomic.fna",571
"GCF_014196735.1_ASM1419673v1_genomic.fna",260
"GCF_014196765.1_ASM1419676v1_genomic.fna",601
"GCF_014197145.1_ASM1419714v1_genomic.fna",602
"GCF_014197535.1_ASM1419753v1_genomic.fna",603
"GCF_014197585.1_ASM1419758v1_genomic.fna",50
"GCF_014197615.1_ASM1419761v1_genomic.fna",604
"GCF_014197625.1_ASM1419762v1_genomic.fna",62
"GCF_014197655.1_ASM1419765v1_genomic.fna",436
"GCF_014197875.1_ASM1419787v1_genomic.fna",62
"GCF_014197895.1_ASM1419789v1_genomic.fna",64
"GCF_014197955.1_ASM1419795v1_genomic.fna",605
"GCF_014197975.1_ASM1419797v1_genomic.fna",267
"GCF_014197995.1_ASM1419799v1_genomic.fna",64
"GCF_014198005.1_ASM1419800v1_genomic.fna",605
"GCF_014198015.1_ASM1419801v1_genomic.fna",605
"GCF_014198055.1_ASM1419805v1_genomic.fna",64
"GCF_014198065.1_ASM1419806v1_genomic.fna",64
"GCF_014198095.1_ASM1419809v1_genomic.fna",267
"GCF_014198105.1_ASM1419810v1_genomic.fna",606
"GCF_014198115.1_ASM1419811v1_genomic.fna",267
"GCF_014198155.1_ASM1419815v1_genomic.fna",606
"GCF_014198165.1_ASM1419816v1_genomic.fna",64
"GCF_014198195.1_ASM1419819v1_genomic.fna",267
"GCF_014198255.1_ASM1419825v1_genomic.fna",464
"GCF_014198335.1_ASM1419833v1_genomic.fna",605
"GCF_014198355.1_ASM1419835v1_genomic.fna",605
"GCF_014198365.1_ASM1419836v1_genomic.fna",607
"GCF_014198395.1_ASM1419839v1_genomic.fna",64
"GCF_014198415.1_ASM1419841v1_genomic.fna",267
"GCF_014198435.1_ASM1419843v1_genomic.fna",64
"GCF_014198445.1_ASM1419844v1_genomic.fna",606
"GCF_014198455.1_ASM1419845v1_genomic.fna",64
"GCF_014198495.1_ASM1419849v1_genomic.fna",64
"GCF_014198505.1_ASM1419850v1_genomic.fna",64
"GCF_014198535.1_ASM1419853v1_genomic.fna",603
"GCF_014198545.1_ASM1419854v1_genomic.fna",267
"GCF_014198555.1_ASM1419855v1_genomic.fna",64
"GCF_014198595.1_ASM1419859v1_genomic.fna",64
"GCF_014198605.1_ASM1419860v1_genomic.fna",608
"GCF_014198635.1_ASM1419863v1_genomic.fna",64
"GCF_014198655.1_ASM1419865v1_genomic.fna",267
"GCF_014198665.1_ASM1419866v1_genomic.fna",609
"GCF_014198695.1_ASM1419869v1_genomic.fna",267
"GCF_014198705.1_ASM1419870v1_genomic.fna",605
"GCF_014198735.1_ASM1419873v1_genomic.fna",267
"GCF_014198755.1_ASM1419875v1_genomic.fna",608
"GCF_014198775.1_ASM1419877v1_genomic.fna",69
"GCF_014198785.1_ASM1419878v1_genomic.fna",610
"GCF_014198795.1_ASM1419879v1_genomic.fna",605
"GCF_014198835.1_ASM1419883v1_genomic.fna",267
"GCF_014198855.1_ASM1419885v1_genomic.fna",104
"GCF_014200035.1_ASM1420003v1_genomic.fna",591
"GCF_014200055.1_ASM1420005v1_genomic.fna",605
"GCF_014200075.1_ASM1420007v1_genomic.fna",605
"GCF_014200115.1_ASM1420011v1_genomic.fna",95
"GCF_014200135.1_ASM1420013v1_genomic.fna",610
"GCF_014200155.1_ASM1420015v1_genomic.fna",610
"GCF_014200165.1_ASM1420016v1_genomic.fna",104
"GCF_014200175.1_ASM1420017v1_genomic.fna",610
"GCF_014200185.1_ASM1420018v1_genomic.fna",50
"GCF_014200235.1_ASM1420023v1_genomic.fna",611
"GCF_014200255.1_ASM1420025v1_genomic.fna",464
"GCF_014200295.1_ASM1420029v1_genomic.fna",56
"GCF_014201355.1_ASM1420135v1_genomic.fna",612
"GCF_014201495.1_ASM1420149v1_genomic.fna",155
"GCF_014202125.1_ASM1420212v1_genomic.fna",267
"GCF_014202175.1_ASM1420217v1_genomic.fna",468
"GCF_014202215.1_ASM1420221v1_genomic.fna",613
"GCF_014202435.1_ASM1420243v1_genomic.fna",532
"GCF_014202935.1_ASM1420293v1_genomic.fna",614
"GCF_014203155.1_ASM1420315v1_genomic.fna",615
"GCF_014205755.1_ASM1420575v1_genomic.fna",104
"GCF_014205785.1_ASM1420578v1_genomic.fna",591
"GCF_014206965.1_ASM1420696v1_genomic.fna",267
"GCF_014207015.1_ASM1420701v1_genomic.fna",69
"GCF_014207035.1_ASM1420703v1_genomic.fna",605
"GCF_014207055.1_ASM1420705v1_genomic.fna",50
"GCF_014207095.1_ASM1420709v1_genomic.fna",616
"GCF_014236795.1_ASM1423679v1_genomic.fna",379
"GCF_014280875.1_ASM1428087v1_genomic.fna",569
"GCF_014395975.1_ASM1439597v1_genomic.fna",617
"GCF_014396975.1_ASM1439697v1_genomic.fna",618
"GCF_014489475.1_ASM1448947v1_genomic.fna",619
"GCF_014489535.1_ASM1448953v1_genomic.fna",620
"GCF_014489595.1_ASM1448959v1_genomic.fna",621
"GCF_014635165.1_ASM1463516v1_genomic.fna",622
"GCF_014636375.1_ASM1463637v1_genomic.fna",112
"GCF_014637085.1_ASM1463708v1_genomic.fna",623
"GCF_014638185.1_ASM1463818v1_genomic.fna",441
"GCF_014638745.1_ASM1463874v1_genomic.fna",624
"GCF_014640695.1_ASM1464069v1_genomic.fna",410
"GCF_014641515.1_ASM1464151v1_genomic.fna",612
"GCF_014641715.1_ASM1464171v1_genomic.fna",625
"GCF_014643175.1_ASM1464317v1_genomic.fna",626
"GCF_014643775.1_ASM1464377v1_genomic.fna",627
"GCF_014645675.1_ASM1464567v1_genomic.fna",453
"GCF_014651995.1_ASM1465199v1_genomic.fna",628
"GCF_014652095.1_ASM1465209v1_genomic.fna",629
"GCF_014652235.1_ASM1465223v1_genomic.fna",630
"GCF_014652675.1_ASM1465267v1_genomic.fna",631
"GCF_014652775.1_ASM1465277v1_genomic.fna",618
"GCF_014652935.1_ASM1465293v1_genomic.fna",632
"GCF_014656335.1_ASM1465633v1_genomic.fna",495
"GCF_014727215.1_ASM1472721v1_genomic.fna",69
"GCF_014779555.1_ASM1477955v1_genomic.fna",633
"GCF_014873945.1_ASM1487394v1_genomic.fna",634
"GCF_015159745.1_ASM1515974v1_genomic.fna",635
"GCF_015453285.1_ASM1545328v1_genomic.fna",636
"GCF_015476235.1_ASM1547623v1_genomic.fna",370
"GCF_015689175.1_ASM1568917v1_genomic.fna",303
"GCF_015910705.1_ASM1591070v1_genomic.fna",344
"GCF_015910955.1_ASM1591095v1_genomic.fna",637
"GCF_016127415.1_ASM1612741v1_genomic.fna",229
"GCF_016466415.1_ASM1646641v1_genomic.fna",129
"GCF_016583655.1_ASM1658365v1_genomic.fna",270
"GCF_016592155.1_ASM1659215v1_genomic.fna",638
"GCF_016613475.2_ASM1661347v2_genomic.fna",639
"GCF_016722765.1_ASM1672276v1_genomic.fna",640
"GCF_016722785.1_ASM1672278v1_genomic.fna",641
"GCF_016836765.1_ASM1683676v1_genomic.fna",514
"GCF_016894385.1_ASM1689438v1_genomic.fna",235
"GCF_017152025.1_ASM1715202v1_genomic.fna",626
"GCF_017352135.1_ASM1735213v1_genomic.fna",642
"GCF_017357225.1_ASM1735722v1_genomic.fna",643
"GCF_017357245.1_ASM1735724v1_genomic.fna",644
"GCF_017724035.1_ASM1772403v1_genomic.fna",84
