## miComplete
## v1.1.1
## Weights:	/home/agrega/micomplete/lib/python3.8/site-packages/micomplete/share/Bact105.weights
## Weights Standard deviation:	0.13917826966028532
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Weighted completeness	Weighted redundancy	Contigs	N50	L50	N90	L90	CDs	
GCF_0010493551_M_aurum_genomic	6019325	67.52	104	0.9905	1.0288	0.9918	1.0346	46	265229	7	90062	25	5720	
GCF_0010495151_Pandoraea_assembly_1_genomic	5537404	62.68	105	1.0000	1.0286	1.0	1.0159	44	223394	8	75820	24	5017	
GCF_0010500151_Mycobacterium_malmesburii_WCM_7299_genomic	5470965	67.25	105	1.0000	1.0095	1.0	1.0121	324	69270	26	18194	83	5387	
GCF_0010531851_PRJEB5741_assembly_1_genomic	5097190	68.64	102	0.9714	1.0294	0.9775	1.0346	18	876721	2	274742	6	4862	
GCF_0010500351_Mycobacterium_komanii_GPK_1020_genomic	5378970	67.32	105	1.0000	1.0000	1.0	1.0	65	233711	9	62199	26	5199	
GCF_0011822851_6998_1_15_genomic	7037422	68.26	105	1.0000	1.0190	1.0	1.0159	53	352174	6	107138	21	5785	
GCF_0011875351_ASM118753v1_genomic	7383497	61.01	103	0.9810	1.0583	0.9813	1.1221	1891	130817	16	13034	83	8290	
GCF_0012700652_ASM127006v2_genomic	4873611	59.39	105	1.0000	1.0000	1.0	1.0	152	115128	11	33202	40	4189	
GCF_0012456151_Mycobacterium_neworleansense_assembly_1_genomic	6287317	66.85	104	0.9905	1.0385	0.9807	1.0397	9	3252791	1	1202571	3	6015	
GCF_0012986751_Draft_Genome_genomic	4190928	65.49	104	0.9905	1.0096	0.9884	1.0008	152	78994	17	17523	57	3931	
GCF_0012785351_ASM127853v1_genomic	9044501	63.38	105	1.0000	1.0381	1.0	1.05	69	570128	6	79824	23	8408	
GCF_0013046951_XAXN-20feb14_genomic	4480365	64.46	105	1.0000	1.0286	1.0	1.0361	325	25955	59	8254	171	4281	
GCF_0013107751_ASM131077v1_genomic	3342977	65.61	104	0.9905	1.0577	0.9918	1.0594	829	7426	125	1652	494	4056	
GCF_0014015551_Xeu_LMG27970_genomic	5037373	64.6	105	1.0000	1.0857	1.0	1.0391	1491	9186	169	1765	613	5342	
GCF_0014015951_Xaa_LMG982_genomic	4414748	64.49	105	1.0000	1.0476	1.0	1.0619	1118	10079	137	2252	485	4638	
GCF_0014016051_Xff_LMG826_genomic	4857009	64.87	105	1.0000	1.0476	1.0	1.0508	1314	8953	165	2068	582	4932	
GCF_0014016551_Xcc_LMG9322_genomic	5107574	64.7	104	0.9905	1.0192	0.9884	1.0206	1143	12573	116	2560	442	5079	
GCF_0014022351_Xad_LMG695_genomic	4994706	64.87	105	1.0000	1.0190	1.0	1.0151	458	27370	60	7115	191	4455	
GCF_0014182951_ASM141829v1_genomic	5268632	61.56	105	1.0000	1.0286	1.0	1.0009	40	371656	5	72225	17	4797	
GCF_0014314051_ASM143140v1_genomic	3553658	64.48	105	1.0000	1.0095	1.0	1.0151	34	325708	5	77503	13	3148	
GCF_0014114951_ASM141149v1_genomic	8605945	66.61	105	1.0000	1.0286	1.0	1.0159	4	3408190	2	1196214	3	7775	
GCF_0014118051_ASM141180v1_genomic	8081051	68.55	105	1.0000	1.0190	1.0	1.0159	3	4140040	1	3743649	2	6800	
GCF_0014314151_ASM143141v1_genomic	4122049	64.04	102	0.9714	1.0098	0.9916	1.0153	92	171493	10	48153	29	3682	
GCF_0014314251_ASM143142v1_genomic	3983487	68.34	102	0.9714	1.0294	0.9415	1.0339	95	167790	9	45392	27	3516	
GCF_0014314851_ASM143148v1_genomic	3374112	65.88	103	0.9810	1.0194	0.9601	1.0158	99	85121	13	24836	36	3077	
GCF_0014314651_ASM143146v1_genomic	4410319	63.88	105	1.0000	1.0286	1.0	1.0341	143	96150	17	21191	56	3803	
GCF_0014315251_ASM143152v1_genomic	3029904	66.1	104	0.9905	1.0192	0.9918	1.0153	58	188329	6	48071	21	2788	
GCF_0014315051_ASM143150v1_genomic	3284859	68.55	105	1.0000	1.0190	1.0	1.0151	124	46611	23	16064	71	2939	
GCF_0014315351_ASM143153v1_genomic	3967734	66.83	104	0.9905	1.0192	0.9918	1.0153	148	51682	22	17142	72	3503	
GCF_0014315651_ASM143156v1_genomic	4313798	67.39	105	1.0000	1.0190	1.0	1.0151	129	79654	18	27248	53	3912	
GCF_0014315851_ASM143158v1_genomic	3508292	66.01	104	0.9905	1.0192	0.9918	1.0153	84	89339	13	29904	38	3217	
GCF_0014315951_ASM143159v1_genomic	3942520	68.8	104	0.9905	1.0192	0.9814	1.0154	126	71728	15	21044	54	3605	
GCF_0014316451_ASM143164v1_genomic	3923155	68.83	104	0.9905	1.0288	0.9781	1.0228	141	56105	22	15163	73	3533	
GCF_0014316651_ASM143166v1_genomic	4484616	66.84	104	0.9905	1.0192	0.9745	1.0155	109	83392	16	27218	55	4020	
GCF_0014316751_ASM143167v1_genomic	4512166	66.31	104	0.9905	1.0288	0.9745	1.026	173	47895	28	14630	93	4141	
GCF_0014425351_ASM144253v1_genomic	5765176	66.81	105	1.0000	1.0190	1.0	1.0152	1	5765176	1	5765176	1	4683	
GCF_0014563551_ASM145635v1_genomic	4649175	64.8	104	0.9905	1.0385	0.9918	1.0509	1	4649175	1	4649175	1	4525	
GCF_0014490051_ASM144900v1_genomic	9032119	62.57	105	1.0000	1.0286	1.0	1.029	4	2890272	2	2011268	3	8015	
GCF_0014575951_NCTC8159_genomic	6983267	67.33	105	1.0000	1.0381	1.0	1.0474	1	6983267	1	6983267	1	6666	
GCF_0014616951_ASM146169v1_genomic	6579820	62.31	103	0.9810	1.0194	0.9813	1.0191	209	102976	17	18039	75	6285	
GCF_0014821951_ASM148219v1_genomic	3988191	69.13	105	1.0000	1.0190	1.0	1.0151	6	3965915	1	3965915	1	3400	
GCF_0014655453_ASM146554v3_genomic	6167370	63.06	105	1.0000	1.0190	1.0	1.0159	1	6167370	1	6167370	1	5395	
GCF_0014826651_ASM148266v1_genomic	5016421	64.76	104	0.9905	1.0192	0.9814	1.0154	205	68710	25	15307	84	4365	
GCF_0014655952_ASM146559v2_genomic	5571260	62.63	105	1.0000	1.0286	1.0	1.0159	2	5493967	1	5493967	1	5024	
GCF_0015153651_ASM151536v1_genomic	5940902	65.67	104	0.9905	1.0385	0.9918	1.0521	247	47695	40	14488	123	5565	
GCF_0015173251_JGI_assembly_genomic	5268632	61.56	105	1.0000	1.0286	1.0	1.0009	40	371656	5	72225	17	4797	
GCF_0015221352_ASM152213v2_genomic	7134792	67.07	105	1.0000	1.0190	1.0	1.0159	2	4131753	1	3003039	2	6095	
GCF_0015288451_ASM152884v1_genomic	8486058	66.66	105	1.0000	1.0286	1.0	1.0159	110	173463	15	50655	48	7758	
GCF_0015413051_ASM154130v1_genomic	5497300	59.35	105	1.0000	1.0000	1.0	1.0	22	480726	3	155155	11	5228	
GCF_0015413151_ASM154131v1_genomic	5657766	59.31	105	1.0000	1.0000	1.0	1.0	52	254976	6	87341	21	5410	
GCF_0015413452_ASM154134v2_genomic	5754491	57.55	103	0.9810	1.0000	0.9813	1.0	22	999201	3	200897	9	5161	
GCF_0015440751_ASM154407v1_genomic	4716713	65.74	105	1.0000	1.0095	1.0	1.0008	40	282127	5	78737	19	4254	
GCF_0015441551_ASM154415v1_genomic	4733058	63.97	105	1.0000	1.0286	1.0	1.0327	52	241285	6	50495	22	4368	
GCF_0015424051_ASM154240v1_genomic	8099863	59.47	104	0.9905	1.0385	0.9998	1.0886	152	121201	21	30417	69	7977	
GCF_0015444751_ASM1544475v2_genomic	7619203	62.84	105	1.0000	1.0190	1.0	1.0159	272	120255	18	18444	74	7069	
GCF_0015444951_ASM1544495v2_genomic	7056109	64.01	105	1.0000	1.0286	1.0	1.0359	163	232130	11	27039	42	6487	
GCF_0015445151_ASM1544515v2_genomic	8201357	62.58	105	1.0000	1.0095	1.0	1.0008	645	104519	22	5026	164	8051	
GCF_0015445351_ASM1544535v2_genomic	9776207	62.63	105	1.0000	1.0286	1.0	1.0414	657	49879	54	8020	233	9299	
GCF_0015445752_ASM154457v2_genomic	8208096	63.69	105	1.0000	1.0381	1.0	1.05	74	374845	9	75997	29	7565	
GCF_0015446151_ASM154461v2_genomic	6166171	63.22	105	1.0000	1.0190	1.0	1.0159	47	425721	4	103628	16	5626	
GCF_0015445552_Burkholderia_udeis_LMG_27134_genomic	10051569	60.03	105	1.0000	1.0571	1.0	1.0633	242	96674	32	29370	102	9395	
GCF_0015446952_ASM154469v2_genomic	9665767	62.41	105	1.0000	1.0286	1.0	1.029	351	123753	20	21682	86	9044	
GCF_0015447552_ASM154475v2_genomic	7726733	62.78	105	1.0000	1.0190	1.0	1.0159	156	166688	15	33455	58	7245	
GCF_0015448352_Burkholderia_sp_LMG_29320_genomic	7360810	62.89	105	1.0000	1.0190	1.0	1.0159	50	366041	8	115992	21	6888	
GCF_0015447952_Burkholderia_sp_LMG_29319_genomic	8325519	62.74	105	1.0000	1.0190	1.0	1.0159	129	226639	13	51022	44	7872	
GCF_0015448752_Burkholderia_sp_LMG_29322_genomic	8333271	63.19	105	1.0000	1.0476	1.0	1.0412	94	213920	12	58624	41	7629	
GCF_0015450351_ASM154503v2_genomic	7842312	62.68	105	1.0000	1.0286	1.0	1.0366	194	100592	25	28484	80	7341	
GCF_0015449152_ASM154491v2_genomic	9141307	62.95	105	1.0000	1.0286	1.0	1.029	142	183345	14	46704	53	8531	
GCF_0015449752_ASM154497v2_genomic	9377494	62.77	105	1.0000	1.0381	1.0	1.014	629	69239	36	7376	209	8945	
GCF_0015450751_ASM154507v2_genomic	7714803	64.23	105	1.0000	1.0286	1.0	1.0359	117	183065	15	58961	45	7051	
GCF_0015527151_ASM155271v1_genomic	6168821	68.54	105	1.0000	1.0000	1.0	1.0	370	30126	66	9422	205	6129	
GCF_0015644151_ASM156441v1_genomic	5036843	64.87	105	1.0000	1.0190	1.0	1.0151	1	5036843	1	5036843	1	4232	
GCF_0015523151_ASM155231v1_genomic	7330216	68.44	104	0.9905	1.0769	0.9998	1.0903	107	265869	10	41351	39	7103	
GCF_0015704251_ASM157042v1_genomic	7387494	66.6	105	1.0000	1.0476	1.0	1.0851	70	262033	11	71500	30	7135	
GCF_0015704451_ASM157044v1_genomic	6734610	67.58	104	0.9905	1.0481	0.9998	1.0746	140	157359	12	45134	40	6829	
GCF_0015704851_ASM157048v1_genomic	6228220	66.83	105	1.0000	1.0095	1.0	1.0167	119	198770	9	47131	39	6152	
GCF_0015704651_ASM157046v1_genomic	7101918	66.01	105	1.0000	1.0381	1.0	1.0391	83	219247	12	50343	34	6983	
GCF_0015705051_ASM157050v1_genomic	4893136	69.01	105	1.0000	1.0000	1.0	1.0	85	202282	8	41957	27	4663	
GCF_0015711451_ASM157114v1_genomic	5151915	67.12	104	0.9905	1.0385	0.9884	1.0209	82	154501	12	51676	33	4903	
GCF_0015712251_ASM157122v1_genomic	4841746	66.76	105	1.0000	1.0095	1.0	1.0008	110	119326	13	26863	46	4516	
GCF_0015712051_ASM157120v1_genomic	5112771	68.47	105	1.0000	1.0190	1.0	1.0175	149	81340	22	18957	68	4906	
GCF_0015713251_ASM157132v1_genomic	6607932	66.59	104	0.9905	1.0288	0.9918	1.0309	136	101600	17	28604	62	5944	
GCF_0015820151_ASM158201v1_genomic	5322335	69.44	105	1.0000	1.0286	1.0	1.0343	45	299005	7	61594	20	5137	
GCF_0015834151_ASM158341v1_genomic	5349645	69.44	105	1.0000	1.0286	1.0	1.0343	1	5349645	1	5349645	1	5162	
GCF_0015805451_ASM158054v1_genomic	7845380	63.78	105	1.0000	1.0286	1.0	1.0159	39	507365	6	205360	15	7064	
GCF_0015912051_ASM159120v1_genomic	4936723	66.18	105	1.0000	1.0190	1.0	1.0151	131	65715	21	20069	71	4557	
GCF_0015913851_ASM159138v1_genomic	5600425	67.78	103	0.9810	1.0388	0.9802	1.0422	239	43321	39	12079	130	5372	
GCF_0015913451_ASM159134v1_genomic	6724210	68.28	103	0.9810	1.0000	0.9802	1.0	287	44324	47	12681	154	6372	
GCF_0015913651_ASM159136v1_genomic	6664268	67.74	104	0.9905	1.0192	0.9884	1.0371	16	1153753	2	339334	5	6220	
GCF_0015922451_ASM159224v1_genomic	6644955	66.94	105	1.0000	1.0286	1.0	1.0207	65	243729	11	83339	31	5951	
GCF_0015959651_ASM159596v1_genomic	2045211	45.43	105	1.0000	1.0000	1.0	1.0	42	305779	3	136095	6	2092	
GCF_0015922651_ASM159226v1_genomic	3755761	63.51	103	0.9810	1.0194	0.9802	1.0008	108	86689	15	19298	47	3593	
GCF_0015922851_ASM159228v1_genomic	4500791	67.27	104	0.9905	1.0481	0.9884	1.0379	43	231780	7	98860	18	4263	
GCF_0015959851_ASM159598v1_genomic	2318061	45.5	105	1.0000	1.0000	1.0	1.0	19	372134	3	139929	6	2364	
GCF_0015923051_ASM159230v1_genomic	5275331	66.7	104	0.9905	1.0192	0.9884	1.0209	53	268203	6	94538	19	4925	
GCF_0015982351_ASM159823v1_genomic	5134650	62.86	103	0.9810	1.0000	0.9802	1.0	79	188448	8	40138	33	4882	
GCF_0015980551_ASM159805v1_genomic	7136420	66.72	105	1.0000	1.0381	1.0	1.0227	3	4619440	1	2456269	2	6485	
GCF_0015987551_ASM159875v1_genomic	6914926	66.61	105	1.0000	1.0286	1.0	1.0207	124	110333	19	30220	65	6382	
GCF_0015987951_ASM159879v1_genomic	6630389	66.76	104	0.9905	1.0192	0.9918	1.014	91	289875	9	47566	32	5941	
GCF_0016401051_ASM164010v1_genomic	4926551	61.3	103	0.9810	1.0388	0.9802	1.0508	45	376931	6	91201	16	4629	
GCF_0016328051_ASM163280v1_genomic	5029817	63.92	104	0.9905	1.0385	0.9918	1.0593	1	5029817	1	5029817	1	4897	
GCF_0016057251_ASM160572v1_genomic	5573781	64.27	104	0.9905	1.0385	0.9918	1.0593	1	5573781	1	5573781	1	5492	
GCF_0016425751_Xfloridensis_v10_genomic	5254357	65.37	105	1.0000	1.0190	1.0	1.0151	58	150157	12	87778	29	4423	
GCF_0016518651_ASM165186v1_genomic	6039294	62.42	105	1.0000	1.0286	1.0	1.0173	68	461421	4	93197	12	5607	
GCF_0016518551_ASM165185v1_genomic	6653547	62.27	104	0.9905	1.0192	0.9998	1.0376	82	207808	12	48323	38	6201	
GCF_0016451251_ASM164512v1_genomic	8533041	62.49	105	1.0000	1.0381	1.0	1.0332	393	150170	18	39811	59	7867	
GCF_0016451351_ASM164513v1_genomic	8483388	62.35	105	1.0000	1.0571	1.0	1.0314	253	228207	11	49885	40	7769	
GCF_0016597251_ASM165972v1_genomic	2232205	44.94	105	1.0000	1.0000	1.0	1.0	1	2232205	1	2232205	1	2278	
GCF_0016518751_ASM165187v1_genomic	5994348	63.6	104	0.9905	1.0192	0.9998	1.0386	102	115043	13	31663	49	5554	
GCF_0016552451_ASM165524v1_genomic	6235754	68.59	104	0.9905	1.0000	0.9998	1.0	1	6235754	1	6235754	1	5878	
GCF_0016608151_Xnasturtii_v10_genomic	4873681	64.46	105	1.0000	1.0286	1.0	1.0361	89	101995	16	32417	47	4179	
GCF_0016873651_ASM168736v1_genomic	6265340	61.02	104	0.9905	1.0192	0.9814	1.0176	31	274998	7	162430	18	5858	
GCF_0017232751_ASM172327v1_genomic	5973319	62.23	104	0.9905	1.0192	0.9814	1.0383	66	283564	6	57784	25	5561	
GCF_0017613851_ASM176138v1_genomic	4944132	61.3	103	0.9810	1.0291	0.9802	1.0508	1	4944132	1	4944132	1	4614	
GCF_0017421651_ASM174216v1_genomic	8527947	66.42	105	1.0000	1.0286	1.0	1.0159	3	3318880	2	1322975	3	7718	
GCF_0017926151_ASM179261v1_genomic	4982977	64.1	105	1.0000	1.0286	1.0	1.0353	76	148235	12	45395	36	4917	
GCF_0017583852_ASM175838v2_genomic	10352616	65.68	105	1.0000	1.0286	1.0	1.0345	4	3658480	2	1914402	3	9392	
GCF_0017926251_ASM179262v1_genomic	4890609	64.14	104	0.9905	1.0288	0.9918	1.0356	80	123042	14	41451	39	4876	
GCF_0018855851_ASM188558v1_genomic	5457546	60.67	105	1.0000	1.0286	1.0	1.0121	161	108393	16	20958	61	5225	
GCF_0018543251_ASM185432v1_genomic	7949449	68.47	105	1.0000	1.0095	1.0	1.0008	3	4383984	1	3388586	2	7106	
GCF_0018655751_ASM186557v1_genomic	7829542	63.21	105	1.0000	1.0190	1.0	1.0159	5	2657711	2	996314	3	7108	
GCF_0019087251_ASM190872v1_genomic	5349905	64.05	105	1.0000	1.0381	1.0	1.0596	3	5110163	1	5110163	1	4580	
GCF_0019316751_ASM193167v1_genomic	4464185	63.19	104	0.9905	1.0288	0.9918	1.0382	1	4464185	1	4464185	1	4117	
GCF_0019316851_ASM193168v1_genomic	4939617	59.82	104	0.9905	1.0288	0.9814	1.061	43	491638	5	134628	11	4719	
GCF_0019385651_ASM193856v1_genomic	4007233	58.57	104	0.9905	1.0192	0.9918	1.0345	20	332335	4	95681	11	3955	
GCF_0019380951_ASM193809v1_genomic	6454529	67.59	105	1.0000	1.0190	1.0	1.0222	15	5858843	1	5858843	1	6100	
GCF_0019389451_ASM193894v1_genomic	5537226	64.49	104	0.9905	1.0385	0.9814	1.0622	48	237867	8	104302	21	4867	
GCF_0019389851_ASM193898v1_genomic	5418020	59.27	102	0.9714	1.0196	0.9627	1.0508	28	465074	4	145902	10	4879	
GCF_0019390451_ASM193904v1_genomic	5156254	55.13	103	0.9810	1.0097	0.9722	1.0125	33	473739	4	103885	12	4714	
GCF_0019533551_ASM195335v1_genomic	2042438	45.63	105	1.0000	1.0095	1.0	1.0008	17	353781	3	115443	6	2111	
GCF_0019425051_ASM194250v1_genomic	5098655	64.14	104	0.9905	1.0288	0.9918	1.0356	37	654541	3	313366	7	5026	
GCF_0019425451_ASM194254v1_genomic	5035051	63.92	104	0.9905	1.0385	0.9918	1.0593	20	2577194	1	582132	4	4919	
GCF_0019426251_ASM194262v1_genomic	6344489	66.19	104	0.9905	1.0192	0.9918	1.0224	93	191633	10	56061	32	6193	
GCF_0019557151_ASM195571v1_genomic	4264855	60.94	103	0.9810	1.0388	0.9802	1.0376	1	4264855	1	4264855	1	3997	
GCF_0019557351_ASM195573v1_genomic	4055436	58.91	103	0.9810	1.0291	0.9802	1.0281	3	3916274	1	3916274	1	3951	
GCF_0019971851_ASM199718v1_genomic	4951541	66.16	105	1.0000	1.0286	1.0	1.022	182	72549	23	20064	71	4620	
GCF_0020000451_ASM200004v1_genomic	4659099	61.54	105	1.0000	1.0190	1.0	1.0167	52	488073	4	61484	12	4562	
GCF_0020081651_ASM200816v1_genomic	7323210	60.78	103	0.9810	1.0194	0.9813	1.0383	33	515701	5	267849	12	7113	
GCF_0020082151_ASM200821v1_genomic	5491420	59.34	105	1.0000	1.0000	1.0	1.0	22	480635	4	154829	11	5226	
GCF_0020082251_ASM200822v1_genomic	4990461	59.31	104	0.9905	1.0096	0.9918	1.0257	40	259577	6	71219	19	4634	
GCF_0020082751_ASM200827v1_genomic	5271321	59.24	104	0.9905	1.0192	0.9918	1.0236	29	286695	5	120369	15	5058	
GCF_0020136851_ASM201368v1_genomic	4766268	64.28	104	0.9905	1.0288	0.9918	1.0356	63	136885	13	41896	35	4658	
GCF_0020135551_ASM201355v1_genomic	5542766	64.29	104	0.9905	1.0385	0.9918	1.0593	22	406873	5	201883	14	5471	
GCF_0020138351_ASM201383v1_genomic	5043548	64.06	105	1.0000	1.0286	1.0	1.0353	45	209874	8	56849	27	4936	
GCF_0020083651_ASM200836v1_genomic	7811012	60.58	103	0.9810	1.0194	0.9813	1.0257	72	432378	6	72450	21	7445	
GCF_0020138951_ASM201389v1_genomic	5431726	64.15	104	0.9905	1.0385	0.9918	1.0593	32	308048	6	116295	17	5398	
GCF_0020178651_ASM201786v1_genomic	4467741	59.93	101	0.9619	1.0198	0.9794	1.0171	2	4447702	1	4447702	1	4149	
GCF_0020185751_ASM201857v1_genomic	5141632	64.63	105	1.0000	1.0286	1.0	1.0153	206	84312	17	21060	63	4456	
GCF_0020191251_ASM201912v1_genomic	5231572	64.62	105	1.0000	1.0286	1.0	1.0327	142	96827	17	28773	56	4515	
GCF_0020192251_ASM201922v1_genomic	5254103	64.46	105	1.0000	1.0190	1.0	1.0151	313	46611	31	9459	124	4679	
GCF_0020785051_ASM207850v1_genomic	6609808	61.66	104	0.9905	1.0288	0.9998	1.0376	79	367362	7	81550	20	6246	
GCF_0020861151_ASM208611v1_genomic	5952041	68.1	104	0.9905	1.0192	0.9918	1.0224	85	203576	10	45736	36	5729	
GCF_0020715751_Ppe8_genomic	8748796	64.71	105	1.0000	1.0190	1.0	1.0159	71	316959	10	77146	29	7645	
GCF_0020861251_ASM208612v1_genomic	5980206	66.81	105	1.0000	1.0190	1.0	1.0222	465	52657	30	14645	112	5921	
GCF_0020861651_ASM208616v1_genomic	5897311	68.57	105	1.0000	1.0286	1.0	1.0571	230	95182	19	15477	82	5713	
GCF_0020861751_ASM208617v1_genomic	4949446	66.89	105	1.0000	1.0095	1.0	1.0167	129	171178	10	35513	34	4827	
GCF_0020861551_ASM208615v1_genomic	6662911	66.25	105	1.0000	1.0000	1.0	1.0	525	75389	22	15516	95	6066	
GCF_0020862151_ASM208621v1_genomic	4999105	67.96	105	1.0000	1.0381	1.0	1.0455	110	109085	14	27277	46	4657	
GCF_0020862251_ASM208622v1_genomic	5442092	64.14	104	0.9905	1.0385	0.9918	1.0593	61	231272	11	63697	29	5421	
GCF_0020862851_ASM208628v1_genomic	4815853	68.11	105	1.0000	1.0000	1.0	1.0	128	110718	14	26326	46	4625	
GCF_0020862751_ASM208627v1_genomic	6817968	65.77	105	1.0000	1.0095	1.0	1.0207	384	56227	39	14871	123	6205	
GCF_0020863351_ASM208633v1_genomic	6121894	66.88	104	0.9905	1.0288	0.9918	1.0251	157	127175	15	33347	46	5786	
GCF_0020863451_ASM208634v1_genomic	5456846	67.71	105	1.0000	1.0286	1.0	1.0353	112	114449	16	39175	47	5104	
GCF_0020863751_ASM208637v1_genomic	4967435	64.09	104	0.9905	1.0288	0.9918	1.0356	25	559054	3	154342	11	4911	
GCF_0020864051_ASM208640v1_genomic	4187822	67.11	104	0.9905	1.0192	0.9918	1.0224	60	167872	8	52571	25	3893	
GCF_0020863951_ASM208639v1_genomic	6217364	66.01	105	1.0000	1.0095	1.0	1.0207	229	161115	14	47097	41	6267	
GCF_0020864551_ASM208645v1_genomic	4619277	68.33	105	1.0000	1.0000	1.0	1.0	107	161898	9	29586	36	4434	
GCF_0020864151_ASM208641v1_genomic	4739740	65.74	105	1.0000	1.0000	1.0	1.0	227	76694	18	21810	61	4677	
GCF_0020864751_ASM208647v1_genomic	6078492	67.87	104	0.9905	1.0096	0.9918	1.0012	267	108116	16	28527	56	5858	
GCF_0020865151_ASM208651v1_genomic	4442590	67.37	105	1.0000	1.0190	1.0	1.0222	157	73139	17	20783	60	4215	
GCF_0020864851_ASM208648v1_genomic	7927592	66.48	104	0.9905	1.0288	0.9918	1.0425	111	135946	18	47091	57	7676	
GCF_0020865251_ASM208652v1_genomic	5061701	64.06	105	1.0000	1.0286	1.0	1.0353	31	282149	6	120594	15	4950	
GCF_0020865451_ASM208654v1_genomic	5969538	66.42	105	1.0000	1.0190	1.0	1.0287	135	118100	18	32241	56	5607	
GCF_0020866351_ASM208663v1_genomic	5692845	69.29	104	0.9905	1.0288	0.9918	1.0326	157	76856	20	26017	65	5366	
GCF_0020865951_ASM208659v1_genomic	5946445	69.2	104	0.9905	1.0481	0.9998	1.0421	105	128197	12	52293	39	5701	
GCF_0020865751_ASM208657v1_genomic	5903509	66.51	105	1.0000	1.0095	1.0	1.0131	63	198498	8	60819	28	5756	
GCF_0020866551_ASM208665v1_genomic	6001708	68.41	104	0.9905	1.0096	0.9998	1.0167	106	115477	15	38800	49	5833	
GCF_0020866751_ASM208667v1_genomic	6172209	66.18	105	1.0000	1.0190	1.0	1.0222	387	44952	39	13089	132	5848	
GCF_0020866951_ASM208669v1_genomic	6009003	66.58	105	1.0000	1.0286	1.0	1.0429	52	325316	6	79806	21	5785	
GCF_0020867151_ASM208671v1_genomic	5200319	64.58	104	0.9905	1.0385	0.9918	1.0509	103	122823	15	43607	42	5266	
GCF_0020867351_ASM208673v1_genomic	6170273	68.42	105	1.0000	1.0000	1.0	1.0	184	99219	20	22562	67	5889	
GCF_0020867551_ASM208675v1_genomic	4409896	67.75	104	0.9905	1.0096	0.9918	1.0222	180	60087	21	16604	71	4078	
GCF_0020867751_ASM208677v1_genomic	6009989	68.46	105	1.0000	1.0286	1.0	1.0551	1217	37351	44	1943	284	6499	
GCF_0020867951_ASM208679v1_genomic	6162880	65.68	105	1.0000	1.0000	1.0	1.0	70	357339	7	98925	22	6061	
GCF_0020868151_ASM208681v1_genomic	6136108	68.53	103	0.9810	1.0291	0.9916	1.0346	88	164057	11	66080	34	5796	
GCF_0020977151_ASM209771v1_genomic	7840830	67.06	105	1.0000	1.0095	1.0	1.0008	4	3308659	2	641159	3	6977	
GCF_0020991951_ASM209919v1_genomic	8098134	66.59	105	1.0000	1.0190	1.0	1.0159	82	290133	9	77305	30	7271	
GCF_0021015551_ASM210155v1_genomic	6755573	67.58	104	0.9905	1.0481	0.9998	1.0746	113	121943	15	39130	54	6838	
GCF_0021015751_ASM210157v1_genomic	6086879	67.69	105	1.0000	1.0190	1.0	1.0222	108	115409	16	25936	51	5727	
GCF_0021015851_ASM210158v1_genomic	4521435	68.54	105	1.0000	1.0095	1.0	1.022	79	132590	12	43406	33	4163	
GCF_0021015951_ASM210159v1_genomic	4720680	66.95	105	1.0000	1.0000	1.0	1.0	57	162031	10	55775	27	4562	
GCF_0021016551_ASM210165v1_genomic	4342192	68.53	105	1.0000	1.0095	1.0	1.022	48	165395	9	65728	24	4051	
GCF_0021016351_ASM210163v1_genomic	6178353	66.38	105	1.0000	1.0190	1.0	1.0222	34	518602	4	105827	16	5832	
GCF_0021016651_ASM210166v1_genomic	5546219	64.28	104	0.9905	1.0385	0.9918	1.0593	35	272673	7	93749	18	5478	
GCF_0021017051_ASM210170v1_genomic	6335651	66.09	104	0.9905	1.0192	0.9918	1.0224	82	240675	9	50588	33	6128	
GCF_0021016751_ASM210167v1_genomic	7601632	66.58	105	1.0000	1.0286	1.0	1.0429	260	62676	39	15693	122	7007	
GCF_0021017351_ASM210173v1_genomic	5606671	66.74	105	1.0000	1.0190	1.0	1.0133	180	71978	25	16621	79	5614	
GCF_0021017451_ASM210174v1_genomic	5832568	66.01	105	1.0000	1.0095	1.0	1.022	116	134284	16	30432	48	5521	
GCF_0021017751_ASM210177v1_genomic	4465329	67.76	105	1.0000	1.0000	1.0	1.0	91	138127	12	25752	42	4142	
GCF_0021017851_ASM210178v1_genomic	6037522	68.5	105	1.0000	1.0000	1.0	1.0	158	85200	23	21909	75	5785	
GCF_0021018151_ASM210181v1_genomic	5619528	69.26	105	1.0000	1.0190	1.0	1.0322	51	271458	8	63427	27	5322	
GCF_0021018451_ASM210184v1_genomic	6269850	65.27	104	0.9905	1.0192	0.9918	1.0224	263	56910	32	12433	112	5700	
GCF_0021018751_ASM210187v1_genomic	5930935	68.28	105	1.0000	1.0190	1.0	1.0222	87	152462	14	33667	45	5574	
GCF_0021018851_ASM210188v1_genomic	4534628	68.68	105	1.0000	1.0095	1.0	1.0002	54	153375	9	57747	27	4249	
GCF_0021019551_ASM210195v1_genomic	4524815	68.44	104	0.9905	1.0000	0.9918	1.0	47	169342	7	57049	22	4220	
GCF_0021019951_ASM210199v1_genomic	4232450	70.3	104	0.9905	1.0288	0.9918	1.0443	84	131191	12	26883	39	4037	
